epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.8,1.40479,2.91638,4.00726,1.48628,0.77342,0.13033,0.13961,0.10048,0.64265,0.14439,0.14296,0.09578,1.10175,2.13725,2.5485,1.26055,0.00012271,0.00012271,0.00012271
2,126.723,1.25458,2.19273,2.60182,1.3287,0.47568,0.4677,0.34112,0.24811,0.47633,0.47711,0.34147,0.23663,1.00116,1.68438,1.47391,1.18114,0.000244826,0.000244826,0.000244826
3,187.085,1.14659,1.96753,1.85355,1.24805,0.42117,0.52491,0.4424,0.31968,0.42264,0.52534,0.44902,0.30902,0.95764,1.65223,1.28771,1.13465,0.00036572,0.00036572,0.00036572
4,246.544,1.08324,1.84629,1.58206,1.20386,0.42587,0.64706,0.51201,0.389,0.42476,0.6431,0.51534,0.36883,0.83815,1.51021,1.08281,1.0568,0.000364506,0.000364506,0.000364506
5,305.723,1.04776,1.77117,1.45763,1.18351,0.44054,0.57856,0.47871,0.3641,0.43849,0.56984,0.47358,0.338,0.81089,1.47381,1.13049,1.04491,0.000362674,0.000362674,0.000362674
6,365.032,1.00991,1.679,1.35495,1.15887,0.47235,0.73116,0.57481,0.44489,0.4698,0.72795,0.57083,0.42014,0.77733,1.33469,0.88784,1.02175,0.000360842,0.000360842,0.000360842
7,424.273,0.97766,1.63593,1.28253,1.14414,0.51683,0.76521,0.62624,0.49051,0.51766,0.76545,0.62943,0.47089,0.79004,1.32864,0.86589,1.02516,0.000359011,0.000359011,0.000359011
8,483.59,0.97733,1.59533,1.24023,1.14162,0.55703,0.70757,0.61217,0.48325,0.56318,0.71362,0.62208,0.46342,0.78022,1.34682,0.84085,1.02302,0.000357179,0.000357179,0.000357179
9,543.261,0.95431,1.55509,1.17152,1.1272,0.48707,0.61928,0.52788,0.41514,0.49153,0.62272,0.5309,0.39997,0.7502,1.31297,0.96597,1.00054,0.000355348,0.000355348,0.000355348
10,602.431,0.93989,1.52738,1.14543,1.11909,0.46388,0.56472,0.51398,0.41285,0.47246,0.56482,0.51864,0.3983,0.74596,1.2927,0.90296,0.99702,0.000353516,0.000353516,0.000353516
11,661.698,0.93113,1.50033,1.11418,1.11531,0.55698,0.77926,0.65353,0.52176,0.56261,0.79131,0.65902,0.50324,0.73313,1.24397,0.78407,0.99137,0.000351685,0.000351685,0.000351685
12,721.023,0.91712,1.47731,1.07298,1.10596,0.58118,0.75565,0.65536,0.52919,0.59006,0.75054,0.66078,0.50144,0.72591,1.20477,0.76432,0.98925,0.000349854,0.000349854,0.000349854
13,780.408,0.91244,1.46431,1.05011,1.09962,0.60544,0.75855,0.66713,0.53368,0.60711,0.76061,0.67298,0.51111,0.70648,1.2163,0.71672,0.98072,0.000348022,0.000348022,0.000348022
